"bathrooms","exterior","price","rooms","size","longitude","latitude"
1,TRUE,320000,2,76,-3.7159923,40.4300963
3,TRUE,495000,4,144,-3.5963935,40.4620053
1,TRUE,123000,2,63,-3.7039373,40.4583693
1,TRUE,280000,3,77,-3.668888,40.4535568
3,TRUE,850000,3,208,-3.6696067,40.4729575
2,FALSE,455370,3,115,-3.7076435,40.4142533
2,TRUE,360000,2,89,-3.7066844,40.4231591
1,FALSE,148000,1,50,-3.7104385,40.4312085
2,TRUE,184000,4,100,-3.71935,40.3997069
2,TRUE,388000,5,163,-3.6688678,40.426067
2,TRUE,66000,3,90,-3.6681923,40.3752847
1,TRUE,135000,2,60,-3.6438725,40.4267296
2,TRUE,230000,3,110,-3.671396,40.4880296
1,TRUE,85000,2,55,-3.6064156,40.4478908
2,TRUE,120000,3,95,-3.6079853,40.3791606
1,FALSE,4e+05,3,90,-3.7059283,40.4223054
1,TRUE,245000,3,85,-3.7086271,40.4111247
2,TRUE,880000,3,168,-3.6748819,40.4249887
1,FALSE,125000,2,53,-3.7021015,40.4662658
1,TRUE,135000,4,120,-3.70968,40.3925634
